valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2015,year,TG,canton,all,agegroup_food,all,all,43.0,267393.0,16.08,,44.7,,3.2,,,,,True
cases,2015,year,TI,canton,all,agegroup_food,all,all,72.0,351894.0,20.46,,71.0,,5.3,,,,,True
cases,2015,year,UR,canton,all,agegroup_food,all,all,4.0,35971.0,11.12,,4.7,,0.3,,,,,True
cases,2015,year,VD,canton,all,agegroup_food,all,all,134.0,773239.0,17.33,,122.7,,9.9,,,,,True
cases,2015,year,VS,canton,all,agegroup_food,all,all,54.0,335622.0,16.09,,54.3,,4.0,,,,,True
cases,2015,year,ZG,canton,all,agegroup_food,all,all,14.0,122113.0,11.46,,14.3,,1.0,,,,,True
cases,2015,year,ZH,canton,all,agegroup_food,all,all,186.0,1466076.0,12.69,,197.3,,13.7,,,,,True
cases,2016,year,AG,canton,all,agegroup_food,all,all,123.0,663462.0,18.54,,108.0,,8.1,,,,,True
cases,2016,year,AI,canton,all,agegroup_food,all,all,1.0,16003.0,6.25,,2.0,,0.1,,,,,True
cases,2016,year,AR,canton,all,agegroup_food,all,all,2.0,54954.0,3.64,,7.0,,0.1,,,,,True
cases,2016,year,BE,canton,all,agegroup_food,all,all,184.0,1026513.0,17.92,,149.7,,12.2,,,,,True
cases,2016,year,BL,canton,all,agegroup_food,all,all,71.0,285624.0,24.86,,55.7,,4.7,,,,,True
cases,2016,year,BS,canton,all,agegroup_food,all,all,43.0,193070.0,22.27,,40.3,,2.8,,,,,True
cases,2016,year,CH,country,all,agegroup_food,all,all,1510.0,8419550.0,17.93,,1366.3,,99.3,,,,,True
cases,2016,year,CHFL,CHFL,all,agegroup_food,all,all,1520.0,8457360.0,17.97,,1371.7,rising,100.0,165.0,1.77,10.9,,True
cases,2016,year,FL,country,all,agegroup_food,all,all,10.0,37810.0,26.45,,5.3,,0.7,,,,,True
cases,2016,year,FR,canton,all,agegroup_food,all,all,50.0,311914.0,16.03,,42.7,,3.3,,,,,True
cases,2016,year,GE,canton,all,agegroup_food,all,all,95.0,489524.0,19.41,,111.0,,6.3,,,,,True
cases,2016,year,GL,canton,all,agegroup_food,all,all,3.0,40147.0,7.47,,4.7,,0.2,,,,,True
cases,2016,year,GR,canton,all,agegroup_food,all,all,35.0,197550.0,17.72,,30.3,,2.3,,,,,True
cases,2016,year,JU,canton,all,agegroup_food,all,all,11.0,73122.0,15.04,,14.7,,0.7,,,,,True
cases,2016,year,LU,canton,all,agegroup_food,all,all,65.0,403397.0,16.11,,57.7,,4.3,,,,,True
cases,2016,year,NE,canton,all,agegroup_food,all,all,40.0,178567.0,22.4,,38.0,,2.6,,,,,True
cases,2016,year,NW,canton,all,agegroup_food,all,all,1.0,42556.0,2.35,,2.7,,0.1,,,,,True
cases,2016,year,OW,canton,all,agegroup_food,all,all,8.0,37378.0,21.4,,3.3,,0.5,,,,,True
cases,2016,year,SG,canton,all,agegroup_food,all,all,87.0,502552.0,17.31,,74.0,,5.8,,,,,True
cases,2016,year,SH,canton,all,agegroup_food,all,all,10.0,80769.0,12.38,,12.3,,0.7,,,,,True
cases,2016,year,SO,canton,all,agegroup_food,all,all,64.0,269441.0,23.75,,48.7,,4.2,,,,,True
