valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020,year,UR,canton,all,agegroup_food,all,1.0,36819.0,2.72,,0.7,,1.7,,,,,True
cases,2020,year,VD,canton,all,agegroup_food,all,4.0,814762.0,0.49,,24.7,,6.9,,,,,True
cases,2020,year,VS,canton,all,agegroup_food,all,4.0,348503.0,1.15,,6.7,,6.9,,,,,True
cases,2020,year,ZG,canton,all,agegroup_food,all,1.0,128794.0,0.78,,2.3,,1.7,,,,,True
cases,2020,year,ZH,canton,all,agegroup_food,all,14.0,1553423.0,0.9,,40.0,,24.1,,,,,True
cases,2021,year,AG,canton,all,agegroup_food,all,6.0,703086.0,0.85,,7.3,,6.1,,,,,True
cases,2021,year,AI,canton,all,agegroup_food,all,1.0,16360.0,6.11,,0.3,,1.0,,,,,True
cases,2021,year,AR,canton,all,agegroup_food,all,0.0,55585.0,0.0,,0.0,,0.0,,,,,True
cases,2021,year,BE,canton,all,agegroup_food,all,6.0,1047473.0,0.57,,8.7,,6.1,,,,,True
cases,2021,year,BL,canton,all,agegroup_food,all,1.0,292817.0,0.34,,2.7,,1.0,,,,,True
cases,2021,year,BS,canton,all,agegroup_food,all,3.0,196036.0,1.53,,4.7,,3.0,,,,,True
cases,2021,year,CH,country,all,agegroup_food,all,99.0,8738791.0,1.13,,123.0,,100.0,,,,,True
cases,2021,year,CHFL,CHFL,all,agegroup_food,all,99.0,8778099.0,1.13,,123.7,falling,100.0,41.0,0.46,68.7,152.8,True
cases,2021,year,FL,country,all,agegroup_food,all,0.0,39308.0,0.0,,0.7,,0.0,,,,,True
cases,2021,year,FR,canton,all,agegroup_food,all,1.0,329809.0,0.3,,2.0,,1.0,,,,,True
cases,2021,year,GE,canton,all,agegroup_food,all,19.0,509448.0,3.73,,18.3,,19.2,,,,,True
cases,2021,year,GL,canton,all,agegroup_food,all,0.0,41190.0,0.0,,0.3,,0.0,,,,,True
cases,2021,year,GR,canton,all,agegroup_food,all,0.0,201376.0,0.0,,0.7,,0.0,,,,,True
cases,2021,year,JU,canton,all,agegroup_food,all,0.0,73798.0,0.0,,0.3,,0.0,,,,,True
cases,2021,year,LU,canton,all,agegroup_food,all,1.0,420326.0,0.24,,4.0,,1.0,,,,,True
cases,2021,year,NE,canton,all,agegroup_food,all,4.0,176166.0,2.27,,3.3,,4.0,,,,,True
cases,2021,year,NW,canton,all,agegroup_food,all,1.0,43894.0,2.28,,0.7,,1.0,,,,,True
cases,2021,year,OW,canton,all,agegroup_food,all,1.0,38435.0,2.6,,0.3,,1.0,,,,,True
cases,2021,year,SG,canton,all,agegroup_food,all,2.0,519245.0,0.39,,3.0,,2.0,,,,,True
cases,2021,year,SH,canton,all,agegroup_food,all,1.0,83995.0,1.19,,1.0,,1.0,,,,,True
